Subcategory,Correct
 Post-traumatic stress disorder (PTSD),1.0
Age,1.0
Attention deficit hyperactivity disorder (ADHD),1.0
Anxiety ,1.0
Cybercrime,1.0
Bipolar Disorder,1.0
Eating Disorder,1.0
Eating Disorder ,1.0
Cyberbullying,1.0
Copyright,1.0
Data Privacy,1.0
Public Helth,1.0
Patents,1.0
Patents ,1.0
Maternity Health,1.0
"Maternity Health
",1.0
Mental state,1.0
Obsessive-compulsive disorder (OCD),1.0
Intellectual property,1.0
Intellectual Property,1.0
Gender,1.0
"First Aid
",1.0
"Racism
",1.0
Social phobia,1.0
"Public Health
",1.0
Trademark,1.0
First Aid,0.9411764705882353
illegal drugs,0.9333333333333333
Racism,0.9090909090909091
Schizophrenia,0.9090909090909091
Cybersecurity,0.9090909090909091
Ethnicity,0.9090909090909091
Nationality,0.8823529411764706
Depression,0.875
Anxiety,0.8571428571428571
sexism,0.8333333333333334
Impoliteness,0.8333333333333334
Fraud,0.8181818181818182
bullying,0.8
Company Info,0.8
Depression ,0.8
Public Health,0.8
Child health,0.8
Adult Health,0.7692307692307693
Commonsense knowledge,0.7564102564102564
Work Ethics,0.7560975609756098
racism,0.75
sarcasm,0.75
Dehumanization,0.7272727272727273
sexism ,0.6666666666666666
Moral,0.5789473684210527
Child Health,0.5
violation,0.5
"Gender
",0.3333333333333333
